2017-10-27 09:54:43,720 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:delete cxid:0xd4 zxid:0x807e txntype:-1 reqpath:n/a Error Path:/admin/preferred_replica_election Error:KeeperErrorCode = NoNode for /admin/preferred_replica_election
2017-10-27 09:54:43,852 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0xe2 zxid:0x807f txntype:-1 reqpath:n/a Error Path:/brokers Error:KeeperErrorCode = NodeExists for /brokers
2017-10-27 09:54:43,852 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0xe3 zxid:0x8080 txntype:-1 reqpath:n/a Error Path:/brokers/ids Error:KeeperErrorCode = NodeExists for /brokers/ids
2017-10-27 10:03:13,460 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:NIOServerCnxnFactory@192] - Accepted socket connection from /127.0.0.1:50389
2017-10-27 10:03:13,467 [myid:] - INFO  [NIOServerCxn.Factory:0.0.0.0/0.0.0.0:2181:ZooKeeperServer@942] - Client attempting to establish new session at /127.0.0.1:50389
2017-10-27 10:03:13,498 [myid:] - INFO  [SyncThread:0:ZooKeeperServer@687] - Established session 0x15f5b89c02f0001 with negotiated timeout 10000 for client /127.0.0.1:50389
2017-10-27 10:03:13,685 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:setData cxid:0x193 zxid:0x80bb txntype:-1 reqpath:n/a Error Path:/config/topics/demo-topic Error:KeeperErrorCode = NoNode for /config/topics/demo-topic
2017-10-27 10:03:13,687 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0x195 zxid:0x80bc txntype:-1 reqpath:n/a Error Path:/config/topics Error:KeeperErrorCode = NodeExists for /config/topics
2017-10-27 10:03:13,713 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0x19f zxid:0x80bf txntype:-1 reqpath:n/a Error Path:/brokers/topics/demo-topic/partitions/0 Error:KeeperErrorCode = NoNode for /brokers/topics/demo-topic/partitions/0
2017-10-27 10:03:13,713 [myid:] - INFO  [ProcessThread(sid:0 cport:2181)::PrepRequestProcessor@648] - Got user-level KeeperException when processing sessionid:0x15f5b89c02f0000 type:create cxid:0x1a0 zxid:0x80c0 txntype:-1 reqpath:n/a Error Path:/brokers/topics/demo-topic/partitions Error:KeeperErrorCode = NoNode for /brokers/topics/demo-topic/partitions
